,Rating,Comments,overall,negative,neutral,positive,compound
122,★★★★★,The accelerationist-masterpiece mindfuck of the 21st Century,5,0.0,1.0,0.0,0.0
123,★★★★½,"Christopher Nolan has this habit of making me think too much. Entertainment shouldn't be quite this complicated, but after the labyrinthian complexity of Inception, this film ups the ante to head-scratching proportions that has left me questioning my intelligence after most of it went over my head. I bet Stephen Hawking loved this. It's bold, brave, mind-boggling and at times bum-numbing, but the visionary imagination on view here is just that. Visually impressive, emotionally engaging, this is a science fiction epic that could prove to be a game changer.",4,0.015,0.699,0.286,0.9861
124,★★★★★,is breathtaking and heartbreaking. It gets better after each viewing. One of the best sci fi movies of the past decade.,5,0.1,0.565,0.336,0.7964
125,★★★★★,"Wow, just fucking wow.",5,0.0,0.202,0.798,0.8357
126,★★★★★,that was such an unforgettable experience,5,0.0,1.0,0.0,0.0
127,★★★★,"A beautiful work. Ambitious and bold and original. The best live action big budget film I've seen all year. Too much (and too poorly written) dialogue in places where no words would have been a better choice, but so be it.",4,0.035,0.694,0.271,0.836
128,★★★★★,Current Favorites,5,0.0,0.263,0.737,0.4215
129,★★★★,Yea.... I totally did not cry,4,0.0,0.587,0.413,0.4249
130,★★,The true universal constant is Nolan's love for boring realism.,2,0.141,0.429,0.429,0.6908
131,★★★★,75/100,4,0.0,1.0,0.0,0.0
132,★★★★,"is upon us I guess it's time for me to revisit some Nolan before I see his newest venture. The visuals are absolutely spectacular, easily Nolan's most visually interesting film. It has a lot of heart to it and really makes for one hell of an experience, even just by watching it on a computer I still had the same feeling that I had back in 2014.",4,0.067,0.829,0.104,0.1423
133,★★★★★,Happy 1 hour anniversary,5,0.0,0.351,0.649,0.5719
134,★★★★½,this movie is cool. chris nolan makes cool films. things get pretty silly at the end of this but whatever it didnt really bother me. i really like the way the robots look in this.,4,0.0,0.683,0.317,0.8755
135,★★★★★,3 hours of coop loving his daughter and giving absolutely zero fucks about his son,5,0.163,0.532,0.305,0.4445
136,★★★★,BUT THEN...you have most of Nolan's dialogue be a bunch of exposition and a really bad Matt Damon appearance.,4,0.245,0.755,0.0,-0.7343
137,★★★★★,"My amazement for this film never ceases to grow. One quick thing I picked up on after countless days of thinking about it is not just its metaphor for life, or love but rather in death too, letting that love prosper. We leave the world for our descendants as we enter the next world. Our new home. But our impact and our presence. The love we shared. Transcends time.",5,0.076,0.7,0.224,0.9313
138,★★★★★,Bye,5,0.0,1.0,0.0,0.0
139,★★★★½,interstellar takes place in 2021.,4,0.0,1.0,0.0,0.0
140,★★★★,"""Best Films Of The 10's""",4,0.0,0.488,0.512,0.6369
141,★★★★½,"Yes, I'm absolutely certain of that now.",4,0.0,0.495,0.505,0.624
142,★★★★,"before that, Nolan and co. has delivered another one of the most breathtakingly spectacular films so far this century.",4,0.0,1.0,0.0,0.0
143,★★★★,*puts dunce cap back on*,4,0.0,1.0,0.0,0.0
144,★★★★★,"is truly one of the most beautiful (and confusing) films ever made and i cannot wait to watch this over and over again. i get the nolan hype train now and holy shit, christopher nolan really is a force to be reckoned with.",5,0.075,0.776,0.149,0.5413
145,★★★★★,i still cry everytime i watch this movie,5,0.383,0.617,0.0,-0.4767
146,★★★★,imagine timothee chalamet growing up to be casey affleck haha lmao,4,0.0,0.482,0.518,0.8225
147,★★★★½,"""Mankind was born on earth. It was never meant to die here.""",4,0.0,0.778,0.222,0.4847
148,★★★★★,Makes me bawl like a baby,5,0.0,0.615,0.385,0.3612
149,★★★★½,I seriously pity people who don't even try to enjoy Nolan movies just because he is so popular. They have NO idea what they are missing.,4,0.259,0.545,0.196,-0.0559
150,★★★★★,also i know its spooky szn and all that jazz so i need to up my game and start watching some scary shiz,5,0.138,0.862,0.0,-0.4939
151,★★★★½,"I hadn't seen this since its theatrical release, and I'm happy to say that my initial lukewarm read was wrong. This movie FUCKS.",4,0.234,0.641,0.125,-0.4995
152,★★★,"I think Nolan's movies are okay to look at, I mean, they certainly are pretty. There were some nice space shots in this one but everything just felt very clinical and pristine. Not a lot of emotion in it. At least, I didn't feel it.",3,0.0,0.838,0.162,0.631
153,★★★★,Those times where you wish you had a secret door in your bookshelf,4,0.0,0.803,0.197,0.4019
154,★★★★★,"Still, I loved Interstellar.",5,0.0,0.339,0.661,0.5994
155,★★★★,"This film really blows its true potential, but I'm willing to forgive most of it because the water planet sequence and its aftermath are so awesome and profound and one of my favorite sequences in film.",4,0.0,0.666,0.334,0.952
156,★★★★★,best movie of all time i think,5,0.0,0.543,0.457,0.6369
157,★★★★,THE TARS MY DESTINATION,4,0.0,1.0,0.0,0.0
158,★★★★★,Wow really 0/3 on that one Carrie,5,0.0,0.612,0.388,0.5859
159,★★★★½,"Visually arresting, thought-provoking, and emotionally-charged, ""Interstellar"" is a time-bending, wholly immersive cinematic experience that had me floored from the first frame.",4,0.0,1.0,0.0,0.0
160,★★★★★,THIS WILL NEVER GET OLD CHRISTOPHER NOLAN YOUR A GENUIS,5,0.0,1.0,0.0,0.0
161,★★★★★,the interstellar soundtrack could get me through anything,5,0.0,1.0,0.0,0.0
162,★★★★★,"""Because my dad promised me.""",5,0.0,0.615,0.385,0.3612
163,★★★★★,i dont even know what to say except christopher nolan i love you please stop making me cry,5,0.223,0.504,0.273,0.296
164,★★★★★,someone punch me in the face,5,0.0,1.0,0.0,0.0
165,★★★★★,y'all wanna know what dreams are made of? cooper and murph meeting when they have the same age,5,0.0,0.863,0.137,0.4019
166,★★★★★,"I will save my full thoughts on ""Interstellar"" for a upcoming spoiler review upon further reviewings. However, I can clearly state with confidence that ""Interstellar"" is one of the most mindblowing films I ever had at the cinemas. It is emotionally charged, visually impeccable, thought-provoking, and flawlessly acted. I have minor gripes with it, but what movie is ever fully perfect? From my personal standpoint, ""Interstellar"" is a extraordinary experience.",5,0.019,0.801,0.179,0.8907
167,★★★★★,this was made...like...this was an idea in someones head and he just went out and did that...and it changed my life forever...cinema,5,0.0,1.0,0.0,0.0
168,★★★★★,"Also this made me bawl my eyes out, holy shit.",5,0.286,0.714,0.0,-0.5574
169,★★★★,"While I always admired Nolan as a filmmaker, I was never moved by his work. This Sci-Fi Epic that's ultimately (and thankfully for me) more about the unbreakable bond between a father and his daughter than about accurate space time travel finally did that, as Nolan chooses unapologetically and for the first time in his career to focus on emotion rather than logic, making this film a truly memorable one that doesn't feel like a cold documentary as I initially and wrongfully thought it would be.",4,0.025,0.871,0.105,0.7839
170,★★★★★,"name a better duo than chris nolan and hans zimmer, i dARE you",5,0.0,0.775,0.225,0.4404
171,★★★★★,the only genre I care about is space redheads saving the world with heart & hope,5,0.0,0.663,0.337,0.7269
172,★★★★★,sorry crisis nolan but having a white man be the villain and a women save the world is the most obvious plot development ever,5,0.278,0.583,0.139,-0.5106
173,★★★★★,"Director Christopher Nolan's masterful sci-fi drama is a feast for the eyes and ears with a (inter)stellar cast -Matthew McConaughey, John Lithgow, Michael Caine, Anne Hathaway, Casey Affleck and Jessica Chastain...a wonderful blockbuster with heart and brains.",5,0.0,0.813,0.187,0.8225
174,★★,"Hey, nice bolt cutters. Quick question for you: want to pilot a spaceship? Follow-up question: would Tuesday work?",2,0.0,0.771,0.229,0.5362
175,★★★★½,I think he did a fine job this time. Nolan did make an emotional contact finally.,4,0.0,0.779,0.221,0.34
176,★★★★★,4 years and what feels like several thousand re-watches later and it still manages to blow my mind.,5,0.0,0.865,0.135,0.3612
177,★★★★,full review on Monday morning (11 AM EST) on Little White Lies.,4,0.186,0.814,0.0,-0.3657
178,★★★★★,"montage and crosscutting like a motherfucker. Still an absolute powerhouse, I hope that I can one day write something substantial about this one.",5,0.165,0.576,0.259,0.1531
179,★★★★★,I can respect that there are people who really dislike Nolan films. But if you don't at least like this film... fuck you,5,0.287,0.608,0.105,-0.6601
180,★★★★½,"I could be very long-winded and wax poetic about how much I love this movie, but all I want to say is Nolan clearly wanted Michael Caine to look like Ridley Scott for some reason and I think more people should be talking about it.",4,0.0,0.773,0.227,0.8705
181,★★★★★,I would literally have sex with this movie,5,0.0,1.0,0.0,0.0
182,★★★★★,"(Ik i'm late like 4 years but still wanna write a long review about this, doing it later)",5,0.0,0.896,0.104,0.1901
183,★★★★★,"The more time has gone by, the more I've realized how deeply Interstellar has stuck with me. Simply one of the most ambitious, beautiful, exhilarating movies of this century.",5,0.06,0.661,0.279,0.8508
184,★★★★½,Interstellar is brilliant and I loved every beautiful second of it.,4,0.0,0.376,0.624,0.9118
185,★★★★★,the way i will never ever go to space because of this film <3,5,0.0,0.805,0.195,0.4404
186,★★★★★,"Overall, Interstellar is a must see. Some truly breathtaking moments and it includes a stellar cast....yeah that was a bad joke. Cheerio!",5,0.125,0.498,0.377,0.7263
187,★★★★★,"""don't let me leave Murph """,5,0.0,0.777,0.223,0.0382
188,★★★★½,so humble for the actors to go to literal space and age over a hundred years old just to shoot this movie <3,4,0.095,0.791,0.115,0.128
189,★★★★★,watching this for the second time clears so much confusion up and makes it such an amazing movie i just fell in love,5,0.083,0.604,0.312,0.7796
190,★★★★½,me: i would fucking die for you,4,0.456,0.544,0.0,-0.6361
191,★★★★½,cant believe matt damon was just playing himself (an asshole) in this film,4,0.0,0.87,0.13,0.2023
192,★★★★★,...,5,0.0,1.0,0.0,0.0
193,★★★★½,Great on a second viewing in the little dollar theatre I live close too. Interstellar is probably flawed if examined throughly. I don't care. This movie just sucks me into a different world every time I watch it. It's almost like comfort food. It shows me the world is so much bigger than just me and my problems. It's spectacular. The pure sepctical is just awe inspired. It's facinating and it never died down my interest in its story. And I already knew what happened next. Just wonderful.,4,0.077,0.712,0.211,0.9263
194,★★★★½,"While there is the occasional flaw, it's so easy for me to overlook due to the overwhelming feelings throughout and Nolan's signature high paced intensity. Zimmer soundtrack perfect (I think I say that every time for him though) and truly breathtaking at times.",4,0.0,0.74,0.26,0.9237
195,★★★★★,oh what i would give to go on a date with TARS,5,0.0,1.0,0.0,0.0
196,★★★★,Nice to see Cristopher Nolan has graduated from fear of killing his wife to fear of abandoning his children,4,0.444,0.464,0.093,-0.891
197,★★★★★,". This is one of the film's best enjoyed when you sit back and admire its beauty, achievements, and dauntless endeavors.",5,0.0,0.459,0.541,0.9565
198,★★★★,trigger warning: an affleck brother,4,0.375,0.625,0.0,-0.34
199,★★★★★,"Upping this up to five, why not. As spectacular as Tenet is hilarious. I miss being thrilled by Jessica Chastain.",5,0.069,0.69,0.241,0.6124
200,★★★★★,Nolan is (sometimes) a genius.,5,0.0,1.0,0.0,0.0
201,★★★★½,Favorite Soundtracks/Scores List,4,0.0,0.4,0.6,0.4588
202,★½,Matthew McConaughey flew with Barney Stinson for SNASA (Secret NASA),1,0.0,1.0,0.0,0.0
203,★★★★,"I can see why this is one of his most divisive films, but I'm definitely in the crowd that appreciates it for what it is. One of the most ambitious space movies since Kubrick's 2001.",4,0.0,0.711,0.289,0.9272
204,★★★★★,This was such an emotional roller Christopher Nolan you whore i love you,5,0.225,0.471,0.304,0.128
205,★★★★★,fuck u matt damon,5,0.636,0.364,0.0,-0.5423
206,★★★★★,honestly i don't think i have breathed properly since seeing this in theatres 4 years ago i love space so fucking much,5,0.0,0.69,0.31,0.802
207,★★★★½,"Whenever Michael Caine talked all I could see was Secret Agent McMissel. I know people say everyone has sins their past self did that they regret, but I never knew what they meant until I heard the familiar voice of that Volvo P1800.",4,0.095,0.905,0.0,-0.4404
208,★★★★★,christopher nolan is actually so sexy with his gigantic galaxy brain,5,0.0,0.696,0.304,0.656
209,★★★★½,well that gave me a good cry,4,0.279,0.27,0.45,0.2263
210,★★★★½,"Hands down the most beautiful 4K UHD Blu-ray I've seen. I watched the water planet sequence many, many times.",4,0.0,0.802,0.198,0.6361
211,★★★★★,"Me: Yeah, Bitch! Hans Zimmer!",5,0.457,0.313,0.23,-0.4912
212,★★★★½,my mum learned how to play the interstellar theme on the piano. she didn't know the movie behind the music so we watched it lol,4,0.0,0.816,0.184,0.6369
213,★★★★★,society if fathers kept their promises,5,0.0,0.658,0.342,0.3818
214,★★★★,"Me not liking the movie at all with the first half, but by the end really really liking it, is what I call character development!",4,0.179,0.821,0.0,-0.587
215,★★★★,"and at its heart is humanity and love. Its visuals, stunning photography, and crescendoing score aid a script that is not without its faults, but the earnestness of Nolan's overall vision pulls it through.",4,0.042,0.774,0.184,0.6514
216,★★★★,"So, interstellar. It's probably unlike anything you've seen in terms of ambition. It probably shouldn't work. But, it does. It's something remarkable to behold and if you can see it on film stock you should. I can't tell ya much about plot other than it works in the long run though it can be confusing at times. And good lamb it hit all the emotions. I'm not ready to be a father after watching that. Or maybe I am. I don't know. Let me know whatcha think after.",4,0.044,0.884,0.072,0.5408
217,★★★,Never watching this again for real this time,3,0.0,1.0,0.0,0.0
218,★★★★★,Keep it up Christopher Nolan.,5,0.0,1.0,0.0,0.0
