,Rating,Comments,overall,negative,neutral,positive,compound
64,★★★★½,"Yes, it's as good as everyone says. I really wish I saw it in theaters. I wish more blockbusters were like this. Can't wait for Tenet now. The cast has no business being this fine. Thank you for everything, Cillian Murphy.",4.5,0.043,0.588,0.369,0.9398
65,★★★★★,"me, deciding which film to put on while i try to nap on the plane: i'm gonna get real meta with it",5.0,0.0,1.0,0.0,0.0
66,★★★★★,ba dum tss,5.0,0.0,1.0,0.0,0.0
67,★★★★½,Christopher Nolan Ranked,4.5,0.0,1.0,0.0,0.0
68,★★★★★,ending shot had me and dad up off the couch screaming about whether it would topple or not,5.0,0.133,0.867,0.0,-0.3818
69,★★★★½,electric chair [slams gavel],4.5,0.0,1.0,0.0,0.0
70,★★★★½,My aunt carol died this morning,4.5,0.419,0.581,0.0,-0.5574
71,★★★★,nolan: yes,4.0,0.0,0.27,0.73,0.4019
72,★★★★,is Christopher Nolan secretly an employee for pharmaceutical companies because I always seem to get headaches from watching his films,4.0,0.0,1.0,0.0,0.0
73,★★★★★,Christopher Nolan planted an idea in my mind. that I would love this movie. and I did!,5.0,0.0,0.757,0.243,0.6696
74,★★★★★,"mostly had it on as background noise while i read arthur/eames fanfiction from 2010 but it's my letterboxd and i get to choose what counts as ""watching a film""",5.0,0.0,1.0,0.0,0.0
75,★★★★★,So i was ten years old and i decided to watched this movie instead of despicable me iconic,5.0,0.0,1.0,0.0,0.0
76,★★★★★,"Remember when yusuf flipped the van and then looked back to his passengers and said ""yall see that? hah- oh yea they're asleep, how could they possibly have seen it? Idiot. Once again you have embarrassed yourself in front of the audience, yusuf."" --? Mr. Bean shit.",5.0,0.184,0.816,0.0,-0.8732
77,★★★★★,just like cobb I too have marion cotillard living in my head rent free,5.0,0.0,0.655,0.345,0.7003
78,★★★,"Ok, this is quite a smart movie for it's mamuschka concept. But the emotional impact is beyond zero. There are massive action sequences, but you just don't care for anybody in the movie - which sadly makes it pretty uninteresting to watch.",3.0,0.142,0.675,0.183,0.0141
79,★★★★★,It's quite excellent!,5.0,0.0,0.318,0.682,0.6468
80,★★★★½,RTX off: Tenet,4.5,0.0,1.0,0.0,0.0
81,★★★★,i relate to dom cobb because if marion cotillard was my wife and i lost her id also be so depressed that i could barely emote,4.0,0.238,0.762,0.0,-0.7609
82,★★★★★,every day i argue with myself over if this is the stupidest easiest simplest score ever written and how that might actually make it genius,5.0,0.196,0.709,0.095,-0.4588
83,★★★★½,"I, too, dream about Cillian Murphy",4.5,0.0,0.714,0.286,0.25
84,★★★★★,my dad won't speak to me now bc i sang along to the score for the entire duration of the movie those BWAH BWAHHHHs r music 2 my ears,5.0,0.0,1.0,0.0,0.0
85,★★★★½,HERE,4.5,0.0,1.0,0.0,0.0
86,★★★★★,"Now, I can hear the dramatic symphony music playing so I should wake up any seco-",5.0,0.0,0.878,0.122,0.2023
87,★★★★,Every night when I fall asleep the full duration of this film is streamed into my consciousness. When the movie ends (credits and all) I wake up. I was really confused until 2010 when this movie came out. Neat!,4.0,0.065,0.852,0.083,0.1776
88,★★★★★,"As far as directing the film is concerned, each of its elements cinematography, special effects, sound, score, editing and acting are masterfully achieved.",5.0,0.0,0.891,0.109,0.4019
89,★★★★,"Alright, bumping it up half a star because man the visuals and score of the film are amazing and so appealing. Even the muted colors pop and it's just a blast visually. Some gripes, especially with the script, probably are going to prevent it from getting a full five from me. Oh well.",4.0,0.0,0.836,0.164,0.7906
90,★★★★★,Inception is one of the greatest serve in the history of film no one can change my mind,5.0,0.098,0.714,0.188,0.4588
91,★★★★½,Mudkip.,4.5,0.0,1.0,0.0,0.0
92,★★★★½,"Total side note, that score was insanely good.",4.5,0.0,0.707,0.293,0.4404
93,★★★★,"""I WANT A GODDAMN CLOCK!!!...if I had a clock...I would-fuck it..."" -Christopher Nolan probably",4.0,0.299,0.572,0.129,-0.5684
94,★★★★★,so many thoughts head full,5.0,0.0,1.0,0.0,0.0
95,★★★★★,"Inception is a brilliant film. Christopher Nolan twists our minds in millions of pieces with this complex film. He knows how to combine true spectacular direction, with symbolic concepts about our perception of reality as how we can trap ourselves in lives and ideas that don't necessarily reflect the reality. Leonardo DiCaprio does a fantastic job. The ""dream world"" dream within' a dream moments and the theory of time slowing are fun mind puzzles to unravel. The action is well paced and suspenseful. The music score and settings all flow together well. Overall, Inception is excellent.",5.0,0.021,0.734,0.245,0.9723
96,★★★★,BWUUUUUUUUUUUUUUUUHHHHHHHHHHHHHH,4.0,0.0,1.0,0.0,0.0
97,★★★★★,"with a hint of actual intelligence must admit that Inception is, in fact, pretty fucking great.",5.0,0.0,0.468,0.532,0.9099
98,★★★★,congrats to the first film here to reach 1M!,4.0,0.0,0.594,0.406,0.5848
99,★★★★★,", man?! This week isn't soon enough. A few hours from right now would be more ideal. Like, it would be great if I could just sleep for a few hours and then wake up in the theater as Nolan's latest is beginning. Is that so much to ask?? This goddamn wait feels as if I've been stuck in limbo for 50 years myself. What the shit.",5.0,0.066,0.735,0.199,0.9063
100,★★★★,ps ily cillian murphy you're so pretty and i wish i could kiss u and feel your soft skin and play with your silky hair... god im lonely and needy,4.0,0.115,0.445,0.44,0.931
101,★★★★,sleep is cool,4.0,0.0,0.465,0.535,0.3182
102,★★★★★,Bravo Nolan!,5.0,0.0,1.0,0.0,0.0
103,★★★★★,10/10,5.0,0.0,1.0,0.0,0.0
104,★★★★,leonardo dickaprio out here sleeping on the job smh,4.0,0.223,0.777,0.0,-0.3182
105,★★★★★,"arthur, stacking people on top of each other, tying them together and blowing up a lift to give them the kick: sorry i can't hear you",5.0,0.052,0.876,0.072,0.128
106,★★★★½,The Oscar Rewind podcast link,4.5,0.0,1.0,0.0,0.0
107,★★★★★,And DiCaprio deserves his own franchise at this point.... dude is so good in this.... so is the whole cast,5.0,0.0,0.835,0.165,0.5777
108,★★★★★,tom hardy arriving to inception set: i am going to create an environment that is so homoerotic,5.0,0.0,0.745,0.255,0.5859
109,★★★★★,joseph gordon-levitt i am in love with you,5.0,0.0,0.588,0.412,0.6369
110,★★★★★,"I'm sorry I missed your birthday yesterday, Inception, you'll have to forgive me considering the amount of times I've watched you already. We have an understanding, me and you. An arrangement. Honour it. Or you'll become an old man, filled with regret, waiting to die alone.",5.0,0.218,0.679,0.104,-0.6597
111,★★★★★,Christopher Nolan: *shoots me in the face*,5.0,0.0,1.0,0.0,0.0
112,★★★★★,- INCEPTION ON THE BIG SCREEN?!?!?:):!:!:,5.0,0.0,1.0,0.0,0.0
113,★★★★★,Christopher Nolan Ranked,5.0,0.0,1.0,0.0,0.0
114,★★★★½,This remains the only Tom Hardy performance where I can understand 100% of his dialogue.,4.5,0.0,0.828,0.172,0.4019
115,★★★★★,There is no longer solution.,5.0,0.293,0.4,0.307,0.0258
116,★★★★★,"Through Inception, Christopher Nolan takes us to explore everything that is achievable in cinema, and beyond.",5.0,0.0,0.867,0.133,0.3182
117,★★★★★,Everyone wish inception a happy birthday,5.0,0.0,0.319,0.681,0.7506
118,★★★★★,jgl hot,5.0,0.0,1.0,0.0,0.0
119,★★★★★,robert fischer please let me hold you and kiss you and take care of you,5.0,0.0,0.591,0.409,0.8074
120,★★★★★,(This gets better with every watch),5.0,0.0,0.633,0.367,0.4404
121,★★★,"It tracks that Nolan, just a few years older than me, probably really dug A View to a Kill and it's epic ski scene.",3.0,0.19,0.81,0.0,-0.6908
122,★★★★★,"do you reckon anyone's told christopher nolan about the arthur/eames phenomenon yet?? and if not, can i be the one to break into his house in the middle of the night and start reading out a coffee shop au while he looks on, presumably enraptured",5.0,0.0,1.0,0.0,0.0
123,★★★★★,watching this at 1:30 in the morning hits different,5.0,0.0,1.0,0.0,0.0
124,★★★★★,You know what? Maybe the filmbros were on to something.,5.0,0.0,1.0,0.0,0.0
125,★★★★½,what,4.5,0.0,1.0,0.0,0.0
126,★★★★,Score: 8/10,4.0,0.0,1.0,0.0,0.0
127,★★★★★,One unforgettable movie experience that no one should miss out on.,5.0,0.297,0.703,0.0,-0.4215
128,★★★★★,WHAT,5.0,0.0,1.0,0.0,0.0
129,★★★★★,"First time I watched this movie I was too young to really appreciate it, but I absolutely love it now. This was so much fun to watch. Also, Cillian Murphy is very underrated and deserves bigger roles.",5.0,0.0,0.703,0.297,0.9337
130,★★★★★,what if we kissed three levels down in ur dreamscape,5.0,0.0,0.776,0.224,0.3818
131,★★★★★,Iconic.,5.0,0.0,1.0,0.0,0.0
132,★★★★½,Not too much to say that hasn't been said. I really want to rewatch this.,4.5,0.0,0.891,0.109,0.1513
133,★★★★½,is probably his best film from a technical standpoint.,4.5,0.0,0.625,0.375,0.6369
134,★★★★½,"I hate Chris Nolan, in the best possible way.",4.5,0.266,0.432,0.302,0.128
135,★★★★★,vm.tiktok.com/ZMe2QV5ud/,5.0,0.0,1.0,0.0,0.0
136,★★★★★,why watch a new movie when i can just rewatch this once a month,5.0,0.0,1.0,0.0,0.0
137,★★★★½,I don't love as much as my first watch but I still like Inception a lot.,4.5,0.133,0.669,0.198,0.2654
138,★★★★★,plays in the end fucking give me literal CHILLS,5.0,0.0,0.8,0.2,0.25
139,★★★★,Bitch...!,4.0,0.0,1.0,0.0,0.0
140,★★★★★,at the theaters when it came out so i couldn't miss the opportunity to make this my first movie watched in theaters after 249 days and i'll be watching THE DARK FUCKING KNIGHT in a few minutes!!!!!!! you guys don't have idea of how happy i'm right now!!!!!!!!!!!!!!!,5.0,0.045,0.828,0.127,0.6438
141,★★★★★,"is even halfway as good as this fucking movie, we're in for a goddamn treat.",5.0,0.157,0.558,0.284,0.3612
142,★★★★,so confused but yes agreed,4.0,0.173,0.192,0.635,0.7003
143,★★★★★,"Anyways, play ""Time"" at my funeral, please and thank you. I want all of you weeping.",5.0,0.236,0.393,0.371,0.2732
144,★★★★★,I can relate to Arthur because I too am in love with Eames.,5.0,0.0,0.704,0.296,0.6369
145,★★★★½,must one understand a film? is it not enough to simply be in awe of it and thirst over the lead actors?,4.5,0.0,1.0,0.0,0.0
146,★★★★★,JOSEPH GORDON LEVITT in a dream in a dream in a dream in a dream,5.0,0.0,0.467,0.533,0.7184
147,★★★★★,"(Based on that, my new big dream is hack Leo's mind and spend 50 years building a city with him, bye)",5.0,0.0,0.905,0.095,0.25
148,★★★★,"as a female in architecture school i really loved ellen page's character because i, too, would ask ZERO questions if leonardo dicaprio approached me and asked me to illegally design worlds for people's dreams",4.0,0.0,0.813,0.187,0.7841
149,★★★★★,"I discover something new about this film, so I'm pretty sure I will never get tired of it.",5.0,0.0,0.606,0.394,0.815
150,★★★★,"When I was an early teen hyped as fuck on this picture I showed it to my mom. Every once in a while I'd catch her in my peripheral vision looking completely wrapped up in the story, eyes laser-focused with a smirk on her face. It seemed as though she was ascending. By the end, I asked what she thought and she said she had zero clue as to what was happening and was just enamored by the sight of Leo and Tom Hardy. Love her lol.",4.0,0.038,0.835,0.127,0.802
151,★★★★★,). I am indeed crying.,5.0,0.508,0.492,0.0,-0.4767
152,★★★★½,Good.,4.5,0.0,0.0,1.0,0.4404
153,★★★★★,you are showing off,5.0,0.0,1.0,0.0,0.0
154,★★★★★,i feel that,5.0,0.0,1.0,0.0,0.0
155,★★★★,p.s. u were kinda cute in the 90s when u looked like a depeche mode reject,4.0,0.151,0.558,0.291,0.3626
156,★★★★★,Thanks for reading!,5.0,0.0,0.385,0.615,0.4926
157,★★★★★,christopher nolan please fucking tell me 2020 is just a dream inside a dream,5.0,0.0,0.588,0.412,0.6486
158,★★★★★,This mind bending film certainly lived up to the expectations that I had for it. Tom Hardy and Leonardo Dicaprio are my favourites in this film they both put on great performances. Great action and extremely memorable scenes. Sure some of it may be complex and hard to get your head around but overall inception will be a classic forever.,5.0,0.019,0.817,0.164,0.8037
159,★★★★½,"We are Hans Zimmer stans first, and humans second.",4.5,0.0,1.0,0.0,0.0
160,★★★★½,my brain is scrambled eggs,4.5,0.0,1.0,0.0,0.0
161,★★★★,"makes the upright, straight-faced professionalism of his characters here feel more palatable. The scene with Tom Hardy telling Joseph Gordon-Levitt to ""dream a little bigger, darling"" is one of those increasingly rare instances where you can see the exact moment someone becomes an A-list movie star.",4.0,0.0,0.787,0.213,0.8783
162,★★★★★,FUCK IT FIVE STARS,5.0,0.538,0.462,0.0,-0.5423
163,★★★★,This must be a dream... right?,4.0,0.0,1.0,0.0,0.0
164,★★★★★,new drinking game: take a shot everytime someone says the word 'subconscious',5.0,0.0,1.0,0.0,0.0
165,★★★★½,Anyways inception is cool !,4.5,0.0,0.536,0.464,0.3802
166,★★★★,cillian murphy,4.0,0.0,1.0,0.0,0.0
167,★★★★★,she only refers to cillian as cheekbones,5.0,0.0,1.0,0.0,0.0
168,★★★★★,i know i'm nine years late but HOLY SHIT,5.0,0.462,0.538,0.0,-0.7905
169,★★★★★,"christopher edward nolan i love you and your wonderful, beautiful, incredible, WILD MIND!",5.0,0.0,0.427,0.573,0.92
170,★★★★★,"which is gayer, being lgbtq+ or arthur and eames?",5.0,0.0,1.0,0.0,0.0
171,★★★★★,"Watched this in school today. I hadn't seen this in nearly three years, so I totally forgot how mindblowingly smart and heartpoudingly intense it is. I'm not gonna write a lot, but I just gotta say that it'll definitely be moving up on my list (along with its younger brother Interstellar). Pure genius. Nolan's aptitude for perfecting heady ideas, narrative momentum, and emotional stakes never fails to astound me. A modern masterpiece that will probably go down as the greatest movie of the past ten years.",5.0,0.028,0.704,0.268,0.9763
172,★★★,) being in your four favorites is without a doubt the biggest red flag there is,3.0,0.0,0.71,0.29,0.6007
173,★★★★★,if you see me log cillian murphy's entire filmography no you didn't,5.0,0.167,0.833,0.0,-0.296
174,★★★★★,Exposition is fun when it's interesting.,5.0,0.0,0.4,0.6,0.7184
175,★★★★★,Christopher Nolan Ranked,5.0,0.0,1.0,0.0,0.0
176,★★★★★,is just something out of this world.,5.0,0.0,1.0,0.0,0.0
177,★★★★★,LITERALLY NOTHING GETS ME MORE HYPED THAN THAT FUCKING HALLWAY SCENE!!!! YES SPIN AROUND!!! CRAWL ON THE WALL JGL!!!!!,5.0,0.0,0.813,0.187,0.6288
178,★★★★★,by now it's one of my comfort movies so there is that,5.0,0.0,0.815,0.185,0.3612
179,★★★★★,Christopher Nolan is truly a god when is comes to cinema!,5.0,0.0,0.602,0.398,0.6476
180,★½,"One of the more interesting dreams I've had in my life was when I had to protest Barack Obama's attempts to repossess my long deceased grandmother's house, despite the fact the building itself was in Northern Ireland. There ain't any shit like that in this movie. There is, however, abstraction disguised as subject beholden composition, intellect masquerading as an abundance of words, and corporate malfesance made into the engine of ""pure creation"". Certifiably a film that never improves.",1.5,0.097,0.769,0.135,0.6546
181,★★★★★,was at the airport and being the dramatic b!tch that i am i listened to time by hans zimmer,5.0,0.0,1.0,0.0,0.0
182,★★★★★,"Some people thought it was too confusing. If anything, I'd wished it was more confusing. It's the perfect organized chaos. Christopher Nolan did a perfect job writing and directing such a convoluted plot into a masterpiece.",5.0,0.163,0.587,0.25,0.7184
183,★★★★★,"Not gonna write much, but yeah this is almost certainly making the top spot of the decade list. Really emotionally resonant and conceptually intriguing to me even after my exposure to art-house and other, more obscure films. The narrative momentum, tension, structure, and music go hand-in-hand to make for one of the most enthralling experiences, and it really blows me away every time.",5.0,0.042,0.848,0.11,0.5734
184,★★★★,"(I'll swear I'll rewatch this and do a better review, it was really visually stunning and the whole concept was seriously great.)",4.0,0.113,0.662,0.225,0.5965
185,★★★★★,Happy Birthday Christopher Nolan :),5.0,0.0,0.309,0.691,0.7717
186,★★★★★,"tom hardy calling joseph gordon-levitt darling, that's very pleasant to me.",5.0,0.0,0.442,0.558,0.8777
187,★★★★,"More Tom Berenger in good movies, please!",4.0,0.0,0.477,0.523,0.6696
188,★★★★★,Inception is brilliant tho,5.0,0.0,0.441,0.559,0.5859
189,★★,And we are all its prisoners.,2.0,0.398,0.602,0.0,-0.5106
190,★★★★★,This is just a masterpiece of film making. Everything from the score to the acting is outstanding. Could watch it again right now after just watching it.,5.0,0.0,0.748,0.252,0.8442
191,★★★★★,Arthur + Eames walked so Protagoneil could run,5.0,0.0,1.0,0.0,0.0
192,★★★★★,"This film still holds up today for so many reasons. I wanna talk about probably my favorite part of the film and that has to be the action. This movie has beautiful editing, special effects, and much more. It has a great and interesting story that is entertaining the whole way. Along with, great characters, great actors, and perfect casting choice. The end of this film has such a strong feeling to it you can easily connect to it and how the characters are feeling. 10/10. Must watch.",5.0,0.0,0.639,0.361,0.9904
193,★★★★,"Fun, clever, cinematic, it's one of Nolan's best.",4.0,0.0,0.323,0.677,0.8885
194,★★★★★,"""An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.""",5.0,0.195,0.726,0.079,-0.5709
195,★★★★½,made me like that one a lot less.,4.5,0.0,0.706,0.294,0.3612
196,★★★★½,watched this for the first time on my birthday back in july and was sorta mehhh on it back then but i decided to rewatch it tonight and totally understood it more and WOW ok christopher nolan really snapped,4.5,0.0,0.784,0.216,0.8982
197,★★½,Me: I hope Tenet is better than this,2.5,0.0,0.463,0.537,0.7003
198,★★★★★,I actually had thought of this movie years before it came out. But Nolan just had to extract it from me. My totem is a chewed pencil that my ex left on my desk before she left me for Sven Baker. It still smells like her... And sadness... And Sven....,5.0,0.0,0.949,0.051,0.3612
199,★★★★★,c u f e,5.0,0.0,0.0,0.0,0.0
200,★★★★,"paprika, is that you?",4.0,0.0,1.0,0.0,0.0
201,★★★★★,joseph gordon-levitt and tom hardy are so gay in this movie,5.0,0.0,0.787,0.213,0.4019
202,★★★★★,"my braincells worked so hard today especially now after I rewatched this movie, I'm gonna need a therapy or just a deep sleep with dream within a dream within a dream",5.0,0.062,0.737,0.201,0.4825
203,★★★★★,STFU NO WHAt IM NOT OKAY. SO DID HE NOT WAKE UP IS HE LOST IN HIS MIND FOREVER IM NOT OKAH WHAG THE FUCK,5.0,0.371,0.629,0.0,-0.9083
204,★★★★★,History has just written. It' the first film in Letterboxd that reached 1 million viewers.,5.0,0.0,0.903,0.097,0.1027
205,★★★★★,it lived up to all the hullabaloo... letterboxd users you win this round,5.0,0.0,0.759,0.241,0.5859
206,★★★★★,perfect movie that I saw 4 times in theaters and my parents got so mad,5.0,0.219,0.585,0.197,-0.1069
207,★★★★★,The coolest therapy session of all time.,5.0,0.0,1.0,0.0,0.0
208,★★★★★,and they were dreammates,5.0,0.0,1.0,0.0,0.0
209,★★★★★,EDIT: Still a phenomenal movie despite characters running around and throwing projectiles at the screen.,5.0,0.0,1.0,0.0,0.0
210,★★★★★,100%,5.0,0.0,1.0,0.0,0.0
211,★★★★★,no i did not rewatch i just wanted to say that spotify wrapped said that time by hans zimmer was my 2nd top song,5.0,0.092,0.833,0.075,-0.1027
212,★★★★★,this is not something they made... like this is some professional shit!! like this shit is in different areas man... what the fuck!,5.0,0.335,0.521,0.145,-0.8213
213,★★★★★,2) mal is the most annoying character,5.0,0.333,0.667,0.0,-0.4576
214,★★★★½,"Please... Play ""Time"" by Hans Zimmer at my funeral... Which is right now, because Nolan just killed me.",4.5,0.197,0.699,0.105,-0.4767
215,★½,Bro Nolan hates his wife,1.5,0.42,0.58,0.0,-0.4404
216,★★★★½,post nolan film headaches are the best kind of headaches,4.5,0.0,0.682,0.318,0.6369
217,★★★★,"Wow, the first time I watched this was 4 years ago. I can't believe it has been so long. I wasn't really impressed by it, probably due to the high expectations I had. This time around, I think I liked it more and found the dream bending experience more impressive than my first time viewing, but I still need to give this another go.",4.0,0.031,0.836,0.133,0.6383
