,Comments
156,pretty bold choice on nolan's part to go ahead and invent the color blue like that
157,ummm who are you and what have you done with Christopher Nolan i.e. the man who made a 169 minute long movie about matthew mcconaughey in space
158,Nolan at his absolute best. Breathtaking cinematography
159,anyway i love this movie a lot so it was worth it
160,Netflix. vista desde mi celular de pantalla 5.5' y con auriculares. tal como Nolan hubiese querido que la vea.
161,"Not just a movie, a full experience"
162,"I have to say it, Harry Styles is a good actor"
163,me: *googles* how to donate eyeballs
164,Probably my second least favourite cinema experience this year so far.
165,chris nolan really made another fuckin movie where he hides tom hardys beautiful face turn on ur location u fuckin coward
166,"And so, with 'Sign of the Times' and now this, Harry Styles's redemption is complete. I'll write more about this later."
167,Can't wait until Warner Brothers submits the screenplay to the Academy and I can finally learn what they're saying.
168,... But then again...
169,"shook me to my core- when a few of those bombs got dropped on the beach in the opening scene, I could literally feel my chest vibrating from how loud the sound design was. And once it was all over, I basically felt like Cillian Murphy's character, completely shell-shocked. I'm still reeling from the whole thing."
170,"lmao at that one extra who ruined what was supposed to be the best scene in the movie because he couldn't contain his excitement, a legend."
171,in IMAX 70mm film.
172,Can you even imagine how stressful it must have been to be an Academy voter in 2017 and having to pick between 6 or 7 modern classics for everything? As someone who cannot make a decision to save their life I would've simply passed away.
173,Masterpiece.
174,it's just such an intense experience. idk if it'd hold up watching it on a smaller screen or in hindsight but for now i like it.
175,I am hundred procent sure that Nolan got some inspiration from La Haine with his ticking sound.
176,of 2017 so far :)
177,holy shit.
178,this was my first experience with imax and wow Cillian Murphys eyes were even bluer
179,i accidentally got drunk at dinner right before seeing this with my parents but you bet your ass i sobered up the second i saw Sir Harry Edward Styles making his big screen debut
180,"I liked it a lot - but can't say I loved it. That may change on the rewatch, I'm not sure. There's a lot to take in here and a lot of themes to ponder before I actually write a full review. So don't take what I'm saying now (or even the rating) as a permanent thing."
181,"me after seeing tom glynn-harney and jack lowden look like they do for an hour and a half: yeah, can I get 5 more of these little blond bitches?"
182,every time cillian murphy looks scared i level up
183,dear god i love a white man by the name of tom hardy
184,lets play guess which is the main character or what his name is
185,"Como dice el comandante Bolton: ""For the French""."
186,me after seeing dunkirk: war movies are slightly less bad and also they're bigger
187,This may very well win the coveted Best Picture award at next year's Oscars.
188,is still bullshit
189,when this movie was released i thought harry styles was going to be terrible in this but he was really good. the soundtrack is fantastic by Hans zimmer. plus the imax shots are amazing looking on my 4k tv. but overall great war movie.
190,"Nolan's experimental amalgamation of his entire filmography: time, symbols, elements, duty, and the exhausted people caught in the flux of it all."
191,"Although the lack of a big screen and excellent sound system does decrease its impact, Dunkirk still stands as incredible filmmaking thanks to Nolan's strongest direction yet. The year's most technically strong film, and a riveting piece all around."
192,"2. My dad thinks Tom Hardy is cool and so do I, baby!!!"
193,= 5/5
194,Incredible film. Superbly crafted and extremely moving.
195,i still don't know what to say. just stunning
196,bit.ly/2w31Q7O
197,"christopher nolan, the only man to simultaneously make me cry tears of suffering and nut because of the amazing directing"
198,2017 Films Ranked
199,Maybe i should watch this in the cinema?
200,I've read many reviews claiming that this movie lacks character development but I think that Nolan was trying to show that soldiers are like robots... They just follow orders without questioning but I might be wrong.
201,"There's a scene in Lost in Translation where Bill Murray is acting out his whisky commercial and the director(through a translator) is telling him to do it with ""More intensity."" This is what the Fuck they were talking about Bill!!"
202,"Also, 500 reviews is kinda cool!"
203,is it fucked up that this is one of my comfort movies
204,Near perfect viewing experience the 70MM is so beautiful the only downside was sometimes I'd stare at the top right corner of the screen looking for the cigarette burns.
205,"A defining career moment for Christopher Nolan, and a high point for the art of filmmaking."
206,cillian murphy and harry styles in one movie. i don't think you understand i'm obsessed
207,"Good thing they survived, or else we wouldn't have One Direction."
208,"This movie was almost as effective on a tiny screen as it was in IMAX and that says something. So much better than I remembered and I remembered it as being amazing. If the ending doesn't make you emotional, I don't know what will."
209,i was so confused bc all of those twinks looked the same!
210,www.cineenserio.com/dunkerque-christopher-nolan-arte-y-vida/amp/
211,"The narrative structure was a little tough to get used to, to the point that I'm just hoping I understood everything properly. The lack of backstory and exposition was a risk that could be polarizing depending on if everybody reads the situation and subtext the same. I felt super drawn into the plot and the immersive filmmaking helped a whole lot."
212,hans zimmer IS TOO GOOD AT HIS JOB
213,Only my second watch. I really should watch this more often.
214,sexy harry styles sexy tom hardy DILF KENNETH BRANAGH sexy cillian murphy
215,Quite the experience to revisit.
216,9/10
217,harry styles lemme talk to u
218,got.
219,Second time around I'm even more shook.
220,harry THESPIAN styles
221,i'm never going to get that fucking ticking sound out of my head. masterpiece. adios.
222,6/5
223,"side note: i obviously mean the characters and what happens to them, not how it ends historically speaking."
224,After seeing both BR2049 and Dunkirk in one day I can confirm that Hans Zimmer is God
225,essentially a 107 minute long WW2 version of Potter Puppet Pals: The mysterious ticking noise
226,DGA 1 in 70mm
227,i am horny for this sound design
228,Dunkirk is not a film. It is an experience.
229,These lads have been in their forever home (my heart) for a year
230,Watching this at midnight is my revenge against my neighbors for being loud in the morning
231,trilogy
232,Harry Styles acting phew
233,?????? the acting??? the intensity???? christopher nolan deserves all of the awards holy shit. a true masterpiece.
234,probably a masterpiece.
235,anyway i cried the whole time
236,I stopped paying attention for a solid 10 minutes because I was just thinking about The Thin Red Line
237,why does cillian murphy always look like he's been in a room doing hard drugs for 10 years and then one day decided to become an actor
238,Probably the most insane theater experience I've ever had. (70MM IMAX)
239,JESUS CHRIST ON A BIKE
240,"All spectacle, all of the time. While it's definitely the most idiosyncratic and intimidating entry in the Nolan canon thus far in terms of subject matter, it does make for one hell of an intense, meditative, and poignant thrill ride. RIP George."
241,P.S. I have never been so frightened by the sound of an airplane before.
242,god I want to wrap a blanket around cillian murphy and then die so bad
243,Christopher Nolan popped my IMAX cherry and it was by far the best theatre experience I've had this year.
244,.
245,"Say what you will about digital projection, nothing compares to seeing a movie projected on film. This film MUST be seen in a theatre and preferably on film."
246,HAPPY 4 YEARS !!
247,Tom Hardy is amazing and should be in every movie. So is Cillian Murphy.
248,"You did it again, Chris!!"
249,Commander Bolton: Home.
250,"Nolan why are you so good whyyyy? One of the best looking Nolan movies for sure, it's such a pleasure to watch plane scenes like true cinema right there. I really love how we don't know anything about our characters because that makes they feel equally important, their experience is what matters the most in that moment. This is how you make a real war movie!!!"
251,to be tom glynn carney on a boat with cillian murphy <3
252,"i saw this in imax when it came out in theaters and i was BLOWN AWAY. this film is seriously a masterpiece. the acting, the sound design, the editing back and forth between the stories, the cinematography.. i don't really know what i can say that could possibly do this film justice. ALSO harry styles, am i right? christopher nolan is probably a genius, huh?"
253,""""
254,"Other than that I was just mostly annoyed at the immensely irritating score. I know it is supposed to help with the building terror/anxiety, but it mostly just made me want to turn the film off in its entirety..."
255,"A phenomenal film about humanity's cruelty and compassion. Dunkirk is a film only Nolan could make, a story of hope that completes with a nightmarish ending. Utter terror is what the characters feel throughout all of Dunkirk, and by the end, the audience is tired. Tired of staring at the horrors portrayed, tired of hearing how terrible the sounds of gunfire are, and tired of war's inherent tragedy. Even without the IMAX format, this is what pure bravado cinema can be, something utterly thrilling to watch but even more distressing to think about afterwards. What a haunting work. What an extraordinary accomplishment."
256,"I thought from the trailers that this was going to be Nolan's Heaven's Gate, but it's perversely and delightfully pared down to almost experimental proportions, an exercise in (literal, if you include the score, and how could you not?) clock-ticking tension that comes close to eschewing dialogue altogether. I have no idea if this approach is more authentic or historically accurate than conventional war narratives, but it does feel like a refreshing contrast anyway."
257,Christopher Nolan Hates Tom Hardy's Face (Part 2 of 2)
258,whats that noise its me shitting meself everytime a bullet hits the side of tom hardys metal plane
259,"also Christopher Nolan: I let Harry Styles from One Direction say ""fuck"" two times in my movie"
260,"None of the actors in this movie are going to win any awards, and that is a massive compliment. All of the pretension that comes with acting/performing is dynamited in this film, and we instead get extremely real feeling characters and very raw performances."
261,OK but did that poor boy ever get to take a shit?
262,"where the enemy is the shark - hardly seen other than fins and wings, the battlefield is the water, Cillian Murphy is Brody, Mark Rylance is Hooper and Tom Hardy is Quint, even succumbing to the antagonist like Quint in the end. And Zimmer is full-on Williams with the music, his most tense and release score, seemingly ratcheting your nerves and then unleashing all stress sometimes within the same montage. Love him or hate him for it, Nolan is the cross-cutting montage king."
263,See it on the biggest screen you can.
264,Film is alive but cinema is dead.
265,"Emotionally bland unless that emotion is stressful anticipation. But that's okay, in a movie like this I'm not looking to have my heart strings tug on (although the portion with Rylance does have some emotional heft), rather I'm looking for technical wizardry and design on a monumental scale, which it delivers with aplomb. Judged on what it is looking to accomplish, it's a near perfect war movie."
266,Us : nolan go slrrrp
267,"This is a masterpiece, I'm in love with the sound editing and the cinematography (those air scenes were nothing but perfect). Every single performance is great, even if no one had ""enough"" screentime, the moments they were given were fucking great. For a Nolan and a war film it feels way too short but either way it manages to be awesome. It's almost sad how satisfying yet upsetting that ending is, I can't stop thinking about it."
268,emotion. Nothing short of a masterpiece. Literally so close to making my top 4.
269,"was a great film the first time I watched it, but this second viewing really made me love it."
270,but then I decided to rewatch this movie
271,"cinema experience in the summer which I, unfortunately, couldn't partake in. Did that hinder the possibility of a higher rating? We'll never know."
272,"buttttttt thank you all for reading my reviews. It means a lot, to feel cared about. I wish you all the best of luck on the new year."
273,hacksaw ridge retire bitch
274,I had three (3) heart attacks
275,Wow. NO EXPOSITION-FILLED DIALOGUE? Hooray!
276,"A solid, unglamorous war movie. I guess that's all we can ask for these days."
277,"tom hardy, once again, the true hero"
278,"No character development, minimal dialogue, thick accents, but somehow Christopher Nolan has still crafted an intense film about the tragic events of Dunkirk. That is due to Nolan's framing and camera work that brings out the most of his actors and environment. Also, Hans Zimmer has entered a new level of scoring. When a film score composer makes you clench your butthole from just a scene where a character walks around on the beach with his intense scoring. He fucking deserves another Oscar."
279,wow chrisopher nolan has done it again WHAT A MAN
280,is a masterful achievement in cinema that is remarkable in every way imaginable.
281,OH MY GOD
282,also this was my second watch but you know a movie has got me stressed when i start cursing in french
283,"Nolan auf Oscar-Bait Tour. Wenn er es braucht, bitte."
284,"Got as much out of DUNKIRK as a montage-heavy IMAX nature doc. The entire piece conveys a new near-experiemental energy for Christopher Nolan, but not a fully successful or multi-expressive one. Setting intercutting timelines patched together no better as depthless, but technically winded immersive montages. Yet this explicit sensational structure makes it far too difficult for viewers to latch onto anything. Equally despairing and admiring as a meticulously orchestrated simulation piece sweeping audiences into the unvarnished winds of chaos and uncertainty of war, but the less-realized characterization undermines the notions of stakes, emotion and tension."
285,Phenomenal
286,((but fr i love this movie))
287,As ever it's great to see christopher nolan's skillful direction at work but I dont think it's his best film but still an exciting cinematic experience
288,This is one of those movies that I have to watch again because purely of the breathtaking cinematography.
289,There are no faces in war. Nolan reminds us in one of the most thrilling and Nolan ways possible.
290,"Worried it wouldn't translate as well at home but it remains every bit as compelling, compulsive and extraordinary viewing as it did on the big screen. Technically astonishing and emotionally resonant, Dunkirk is exemplary filmmaking with fires on every cylinder -- and Christopher Nolan's finest for my money."
291,brilliant!
292,Tom Hardy could have defeated the Germans with his bare hands.
293,"Similar to how the British and French were surrounded by their enemy, I was surrounded by my own enemy; people who talk nonstop during movies."
294,i swear i can still hear that clock.
295,Just a shame we'll have to wait another four or so years for another Nolan movie.
296,"speechless. absolutely incredible. nolan, you fucking did it"
297,Best sound effects of 2017.
