,Comments
154,"A wonderful piece of neo-noir. Nolan shows some skill in his debut. The story is simple: random happenstance that causes the main character's life to spiral out of control. The fractured screenplay that he used so brilliantly in Memento was put to good use here and probably served as a playing ground for that film; works quite brilliantly with the climax. The acting is adequate and plays into the feel of the film well. The music accentuates the film; quite subtle, but the main theme adds some nice intensity. Nolan shows attention to detail with his photography."
155,6/10 meh
156,imagine if nolan had directed fight club instead of fincher and also if he had written the screenplay UGH im shaking literally tyler and the narrator meet on a beach that would be so powerful. except nolan has such bad taste in men he'd cast a bunch of uggos
157,"Nolan doesn't seem to understand the definition of the word ""bald"", though, or just didn't have any bald friends."
158,"Criticize all you want, but achieving this level of intensity with his first film is pretty impressive. NOLON MIND-BLOWN."
159,Oh wait what-
160,"What a slick and cunning thief, or should I say murderer?"
161,This is a super solid debut film. Leaves a lot to think about but also creates a fantastic atmosphere that is easy to love even with the uncertainty surrounding what takes place in the film. Perhaps most impressive is how much Nolan is able to pull off with so little.
162,you know he's a writer cause he's got a book titled ENGLISH on his desk.
163,"Nolan likes to play around with time and timelines, and this early example of that just feels so special in my opinion."
164,a nolan film with no michael caine... something's not right here
165,the characters are decent but not fleshed out. definitely had potential.
166,"Back when Warner Bros. wasn't giving Nolan $200,000,000 to blow up planes."
167,"The moderately popular evidence of Nolan before Nolan. A film reminiscent of Hitchcock, Following appears to be the finest a film student makes to finally graduate as a filmmaker. The film is full of clues, and easter eggs for the entire Nolangraphy to come in the future. The make-believe reality, and trustworthy protagonists, end up denying their existence, leaving you with doubt. Following exhibits brilliance in the way it is written and cautions you against conscious voyeurism in an increasingly individualistic world."
168,i love a good microbudget but did anyone tell chris nolan that character personalities are free
169,"a little weird not seeing nolan working with warner bros., and not making a big budget film, but nonetheless this was a great way to showcase his talent for storytelling."
170,"My favorite thing about watching this movie with someone else was simultaneously saying ""oohhh"" when something was explained."
171,"Mostly just wanted to see Nolan's debut before taking a deep dive into his more recent stuff that I've missed. Pretty great for what it was, great precursor to Memento, but worse in every way."
172,"Feels like the plot was disjointed for no other reason than that Nolan saw other filmmakers did it so he should too. It's an admirable effort for a first film, but the whole thing just seems to fall short of being a great film."
173,", which is not only one of Nolan's best and brightest, but also one of the most iconic, important, and impressive films ever made."
174,"Arguably, one of Nolan's best films. I wish (personally) he would've stayed doing small movies like this and ""Memento"""
175,Such an audacious attempt in his debut film.
176,better version
177,but hey i've seen every single Christopher Nolan movie now! I don't love his movies but he's certainly one of the most unique filmmakers working today.
178,Christopher Nolan ranked
179,What I love so much about Nolan is that he constantly pushes the idea of storytelling through film to it's limits. He doesn't settle for the simple way to tell a story. And his directorial debut is no exception
180,"every time the camera cuts to him, so I quite enjoyed this, especially as a (pretty die hard) Nolan fan."
181,(3.25/5)
182,Almost every Nolan movie has that one part that makes you go OHHHHHHHH
183,"This has Nolan using non-linear storytelling for no clear reason (unlike the times he uses it on his future movies), and as such becomes unnecessarly confusing and convoluted, and the characters aren't anything special, but there's some clever dialogue and interesting ideas here, along with surprisingly great moments of cinematography for such a tight budget."
184,"I liked it. Always nice to see where a director came from, especially when I will soon be seeing his latest film at a drive-in where my speakers will explode..."
185,Christoph Nolan Ranked
186,"By far Nolan's weakest, roughest, and least essential film, but it's not a terrible debut feature. Could have been better, but it's understandable, considering that this was shot with basically no budget. The best part about this film is that it showed the potential and promise of Nolan, which he showed in his later films"
187,", despite the rough no-budget atheistic, the final result is an incredibly interesting look at the beginning of a directors career and a very worthwhile watch."
188,"A progenitor for what was to come with Christopher Nolan. All the tropes, styling, moods and design choices are here, from the narrative structure to all of the male characters wearing suits. Only thing I think weighing this down is the film's look: It screams ""Student's First Film"" presentation wise but thankfully, the script is anything but. Now I just need to see Insomnia and I'll be done."
189,Batman Easter Egg.
190,Watched on Criterion Channel
191,"[Commentary Track] It's about as dry and soft spoken as you'd expect from Nolan (give me the dry humor of David Fincher any day), but I'd say it's a pretty valuable track for people looking to make a no-budget film because a lot of what he says is about crafting your script and aesthetic to your budget rather than scrambling to figure out how you're going to get the shots and tone you need given the lack of funds."
192,. nothing profound
193,"Times I audibly said ""oh shit"": 1"
194,Gotta love that there's a Batman logo prominently displayed on the main character's front door.
195,Christopher Nolan Films Ranked
196,"It's so incredible to see where a director's career starts from. You can tell with from the story, the editing, and even the way it's shot that it is a Nolan film. All of the elements explore the roots of Christopher Nolan's filmmaking style. It's almost a depiction of how he makes a film in general. Each element that is in this is used in his later work but is only expanded on until he masters it."
197,"I love how Nolan's tiny little debut film still has all the signature elements that he's become known for. Non-linear storytelling, 3rd act twists, punchy dialogue. Surprisingly still holds up well to this day"
198,"It is pretty much Memento-Test, and as simple as it is, the film still gives us a good and intriguing story. Decent start on Nolan's directorial career."
199,Very very very well done Chris!
200,"The first Christopher Nolan film is also the only Christopher Nolan film I've seen where I sort of believed that some of the characters might, in fact, fuck."
201,Underrated feature film debut that you have to see.
202,Yo have you guys heard how frugal and cost-efficient this bad movie was?
203,if you wanna watch it and it's only 70 minutes long. I greatly enjoyed this film and it definitely shows the genius of Nolan from a young age which will grow much greater later in his filmography.
204,"this is underrated. the plot is good, the actors are good and christopher nolan is still my fave director"
205,"So many of Christopher Nolan's structural and emotional foundations are in their infancy here; the manipulation of time, objects holding our hearts, identity in flux his interests are clear and cemented beautifully. Nolan is without a doubt my favorite major filmmaker working today and I'm so excited to go through his movies again :)"
206,the plot sounded intriguing enough but I was completely confused for the entire runtime
207,"Maybe the quintessential Nolan movie for me; I like the concept with it's closed-loop nature, but I can't quite engross myself in the performances or the dialogue because they are both a little stale. I think he'd be in a better position now to make this now though because he'd surely cast it better and it is an intriguing noir."
208,"Though I think Memento put Nolan on the map, Following is just as good. The story is told through three different points of time which come together at the end to show the big picture of what is going on. It has a small start but by the end, you realize the weight of what just took place."
209,"It has an unusual plot, but somehow it all comes together remarkably well. I truly felt evangel with the dreamy and curious structure. A solid low budget picture that displays plenty of strong future promise."
210,"This incredibly low budget film is loads better than a large majority of his more acclaimed big-budget ""spectacle"" films in my opinion."
211,"Great story, but the the filmmaking felt very amateur. If Nolan remade today this he could make it a lot better."
212,"I'm not really in the mood to get into all the Nolan stuff, you can see a bunch of the themes here in microcosm but i'm neither a fanboy or a hater of his work was more just looking for a short noir from sometime other than the 40s for the sake of the noirvember challenge :)"
213,Geleneksel nolan maratonu
214,Independent filmmaking at it's best..Loved it more than I thought I would.
215,Nolan really been using his tropes since day goddamn 1. What a solid film for a directorial debut.
216,"Nolans low budget triumph! The whole film is handheld and im sure they didn't even use any lighting. Their weapon of choice was a melee(hammer) instead of a gun, and the cast was very small because actors are expensive. You can see that the entire film is made with 1 take and sometimes 2 takes, and they all worked out"
217,The ending was great
218,6.7/10
219,"Christopher Nolan and the Terrible, Horrible, No Good, Very Bad Movie"
220,"Luckily, later in his career Nolan was able to disguise his inability to write good, not-so-on-the-nose dialogue with breathtaking spectacle, but here the only thing that really works is the soundtrack, the lead actor and some of the really nice B&W cinematography. The fact that the only female character in this movie is credited simply as ""Blonde"" tells you all you need to know about Nolan's attitude to women in his movies."
221,really just needed to be improved on within all fronts.
222,"En somme, c'est pas mal mais pas fou non plus."
223,You can tell it was his first film... But it's a good start that would later lead to brilliant things
224,i sure hope this nolan guy makes a batman movie in the future
225,"While comparatively basic to the films Christopher Nolan makes now, I have to say I was completely engaged while watching his debut film, Following. It's premise is really creative, and the actors give really good performances. The music fits into certain scenes perfectly, and the twists are really well pulled off, as per usual Nolan. It's just fantastic, and makes the most of its lack of budget. Highly recommend this one, it's really underrated!"
226,boxd.it/5hKTQ
227,More details to come in my full review on YouTube in the coming weeks as I begin reviewing Christopher Nolan's filmography.
228,"There's a Batman symbol on the door and a character named Cobb, so the only logical conclusion is that this is Nolan's way of telling the world that he is actually from the future and traveling backwards through time. HOW COULD WE HAVE MISSED THIS??"
229,)
230,nolan why do you do this to me stop the unrealistic characters and dumb dialogue and the shaky camera and non-linear order and crosscutting and your female characters that do nothing except serve as the motivation for your deep brooding morally-confused male protagonists to monologue about physics or time or morals or something else i dont know and i know this movie isn't blue but please stop making your films blue maybe try another color pallet for once please
231,This is a really solid directorial debut which showcases a lot of best things Nolan uses in his films still today.
232,Can we bring back Alex Haw please ?
233,6/10.
234,probably Nolans actual Inception because my god is this movie a dream that drags on
235,'s first feature showed an awful lot of promise.
236,boxd.it/2ejjy
237,"Funny how the man who makes some of the world's biggest films started out with such a lo-fi thrill. It's a little light and can't escape that student film aura, but the cinematography and killer minimalist premise is an acceptable compromise."
238,Before the ending I found this movie to be a little convoluted due to the super low budget but it ended up making sense
239,Bravo Nolan
240,Watched on my laptop. Sorry Chris!
241,i find it hard to believe that people would still enjoy this if christopher nolan's name wasn't on it
242,I wish more big filmmakers like him would throw out a modest and intimate project like this every once in a while.
243,"Nolan's first film is, of course, not going to be his finest; yet Following did manage to solidify him as a director-to-watch. He proved he was fantastic at tight filmmaking and the non-linear timeline was, as I am led to believe, reminiscent of his first mainstream film, Memento. A stellar film with interesting dialogue, decent performances - for the most part - and engaging plot development. Some flaws in the action sequences are apparent. But, on such a small budget it's only right to laud Nolan on what he could achieve. Worth checking out because of its short runtime as well."
244,This movie is perfectly fine and feels Nolanesque. It's obviously very low-budget and I'm very glad he could make something that could lead him to be able to make bigger and better things.
245,Ehhhhhh!!!!! This Christopher guy ain't too good with endings is he?
246,"feels somewhat amateurish, but we can already see Christopher Nolan's filmmaking style taking shape in this twisty, pretty competent crime thriller."
247,holy shit
248,"I guess I'll never know, but this is a nifty feature debut."
249,"Following salah satu film yang sederhana dari Christopher Nolan namun memberikan cerita yang tidak akan terlupakan, dan ending yang sama sekali tidak terbayang dari awal."
250,or any of Christopher Nolan's newer films.
251,"Eerily shot in black and white, in his debut feature Following, Nolan successfully creates his own distinctive cinematic world. Impressively acted, ambitious and engaging. The film highlights the emergence of a significant directorial talent with his trademark plot back and forth."
252,All of Nolan's trademarks started from this one.
253,"This was Nolan before he was Nolan, proving that he was always Nolan, which is the most Nolan thing he can do or did."
254,proves he doesn't need a huge budget to tell a great story.
255,all of nolans films feel shorter and this is his shortest k
256,Nolan does Jarmusch does Hitchcock?
257,That Nolan has retained his visual experimentation and playfulness of images within serious material throughout his career is something to be thankful for.
258,"Worth watching and very good considering it's budget, but not something I'm actively going to want to watch again."
259,I'd take this over Interstellar and TDKR any day of the week. Mr. Nolan needs to go back to his roots IMHO.
260,"At 70 some mins its barely a feature but all the Nolanisms are here: twisty narrative, unreliable narrator a great ending."
261,"Although Christopher Nolan would go on to bigger and definitely better things, Following is an impressive debut with good performances, stealthy cinematography, and an intriguing story with intriguing editing. Plus it really looks nice on it's Criterion release. Hopefully, Criterion's new deal with Warner Bros. means we can get one other Nolan notable film in it's catalog....and no it isn't Insomnia."
262,"Finally watched Nolan's first movie, and it didn't disappoint. I actually love how how raw the movie is--you can see Nolan hammering out his style in this, and the story and script is solid. Also, at an hour and ten minutes, it accomplishes quite a lot. Just awesome to see the beginning of a great director."
263,"For a movie costing only about 6 grand, this looked clean and precise. Best of all, it was engaging and interesting. Loved it."
264,"And yes, I am aware that this is an unpopular opinion. Feel free to contest me on it if you have the urge."
265,"The problem with this movie is the fact that it is SO fucking low-budget. Now that doesn't take away from the plot, script or acting, but if they did this in color, MAYBE at the end, cutting back and forth between what he saw (a person) and what other people saw (nobody) with a nice Hans Zimmer score this could've been an easy 5. But it's still amazing, and first movies are mainly just to put your foot in the door."
266,Nolan wasn't only fucking with the timeline but also the duality of characters huh
267,"This isn't exactly Christopher Nolan's best film, but this film did give birth to one of the greatest filmmakers of all time."
268,was a bad movie.
269,5/10
270,When Nolan almost directed adult movies but it backfired....
271,A good movie that is overshadowed only because he perfects this craft later on in his career.
272,MAKE A COBB ORIGIN STORY CHRISTOPHER KINO NOLAN
273,"Concise and smart. Christopher Nolan has a very idiosyncratic way of directing, and you can tell what kind of filmmaker he would become from just this film."
274,Wow. Chris Nolan's first movie and it's got all the Nolan twists and turns that I've come to know and love.
275,"Quite possibly my favorite Nolan film. This film speaks of vision over just about everything, the black and white, use of natural lighting, non-linear progressive plot. With just a tight low budget, Nolan really had to meticulously harness his craft to allow his story to be the told way he intended. Haw is charming yet dark, and Theobald plays perfect as Cobb's counterpart. This film just speaks volumes as Nolan from a directing standpoint. Following laid the groundwork for Nolan's storytelling and shows he's capable of more than just big budgets and sets."
276,The following is my explanation.
277,"Happy 51st birthday to director who give us 11 greatest film in the world, Christopher Edward Nolan."
278,such a film bro flick lol
279,chris you can't really write female characters but god do i love your movies
280,"if i had a nickel for every time christopher nolan made a fun to watch but very confusing film with a main character whos a kind of thief/burglar named cobb i would have two nickels, which isn't a lot, but it's weird that it happened twice."
281,Loved the black&white style of this movie and the cinematography from the classic Christopher Nolan.
282,"The female then convinces the Protagonist to get the photos to ensure her safety, which he then tries to do."
283,"A twisty thriller. A nice little nugget, clocking in at only an hour and ten minutes."
284,I swear those two male leads looks the same. I was confused for the first half of the film lol
285,"Some of the dialogues and character interactions felt not that realistic to me and it has all that Nolan crap that I simply do not enjoy. But yeah, If you are a person who enjoyed most of his work, I'll predict that you'll like it as well."
286,Rewatched with Nolan commentary
287,First rule of Follow Club is don't talk about Follow Club
288,Christopher Nolan Films Ranking
289,"Is the acting a bit all over the place, or am I way to high to process what I just watched?"
290,"next which, in my opinion, is his masterpiece."
291,wp.me/pat7iE-2mw
292,"Basically these aged like bagged milk, for me at least, and I do understand why people like this stuff so more power to you man."
293,(2000). I said what I said.
294,Very simple but also extremely thrilling and intriguing.
295,prequel!
296,But! The story was compelling. And the mystery element of it was well executed.
297,"Very much feels like 'My first film', with some clunky dialogue and stiff performances along the way. But the way the wheels spin in this shoestring noir is still quite impressive, and it is fun to see the origin point of some of Nolan's on-going tropes (Femme Fatale!! Ambient Soundscape! Men in Suits!). It's a brief, but satisfying exercise."
298,Memento?
299,"Another example of a Nolan protagonist setting up a ""system"", a method of ordering the world, which then becomes inverted against them. The game of 'harmless stalking' becomes complicated once they are actually interacted with, attempts to know people from the outside thwarted. A quick and interesting lo-fi narrative experiment, albeit a little stilted and constrained (as youd expect with a debut film). Nolan going on to make far more ambitious and refined films, but interesting to see how some of his ideas existed from the start."
300,could run
301,B+
302,Bro the only people who make good films anymore are Nolan and Fincher
303,Although it's short it's a well thought out and atmospheric neo-noir movie. Hard to believe it's Nolan
304,79
305,Greatness from small beginnings
