,Rating,Comments
138,★★★½,Full Review
139,★★★★,I want Cillian Murphy to kill me next!
140,★★★★★,"my favourite character in this is collins, (the RAF pilot that isn't tom hardy) don't ask me why, i have no idea i just love him and i want a backstory"
141,★★★★★,I started crying as soon as he started reading the newspaper out loud wow I love happy endings
142,★★★★★,Nothing quite hits my emotions like when that engine cuts.
143,★★★½,Watched this in an imax theater where my buddy works. We weren't supposed to be there but he didn't get in trouble.
144,★★★★,Very good.
145,★★★½,hans zimmer SNAPPED with this score my bones were tingling with dread
146,★★★★,is a remarkable film.
147,★★★★½,"Nolan's most technically proficient film. So stressful yet so freeing by the end and imbued with so much reality, identity, and soul. That ending made me cry this time - it felt like home."
148,★★★★★,.
149,★★★★★,"- Jack Lowden as Collins, but also me every 10 seconds for 107 minutes."
150,★★★★★,"Christopher Nolan's WWII drama is suberbly crafted with moments of intense dread, its brillantly put together with some fantastic visual imagery and very little dialogue...another surprising aspect the film's length , in a age of bloated running times - this runs at under two hours which does'nt feel overstuffed or underserved...with a cast delivering unshowy performances (Tom Hardy, Mark Rylance, Kenneth Branagh & Cillian Murphy) Dunkirk just might be one of the years finest movies if not than probably one the most important."
151,★★★★½,WOW GUYS WOW
152,★★★★★,i would die for this film
153,★★★★★,anyway i love this movie a lot so it was worth it
154,★★★★,"No doubt the most gorgeous film of the year, even for a Nolan bottle episode. Dunkirk is tense and droning I'm surprised my butthole held up. So perfectly plotted I like to imagine those many sleepless nights Nolan must of spent in low light looking vaguely like a sweaty Quentin Tarantino, making flow charts. Is it in Tom Hardys contract to have his face covered up?"
155,★★★★½,at something than I have at this movie.
156,★★★★½,pretty bold choice on nolan's part to go ahead and invent the color blue like that
157,Watched by,ummm who are you and what have you done with Christopher Nolan i.e. the man who made a 169 minute long movie about matthew mcconaughey in space
158,★★★★½,Nolan at his absolute best. Breathtaking cinematography
159,★★★★½,... But then again...
160,★★★½,Netflix. vista desde mi celular de pantalla 5.5' y con auriculares. tal como Nolan hubiese querido que la vea.
161,★★★★★,"Not just a movie, a full experience"
162,★★★,"I have to say it, Harry Styles is a good actor"
163,★★★★★,me: *googles* how to donate eyeballs
164,★★,Probably my second least favourite cinema experience this year so far.
165,★★★★,chris nolan really made another fuckin movie where he hides tom hardys beautiful face turn on ur location u fuckin coward
166,★★★★½,"And so, with 'Sign of the Times' and now this, Harry Styles's redemption is complete. I'll write more about this later."
167,★★★★½,Can't wait until Warner Brothers submits the screenplay to the Academy and I can finally learn what they're saying.
168,★★★★★,"shook me to my core- when a few of those bombs got dropped on the beach in the opening scene, I could literally feel my chest vibrating from how loud the sound design was. And once it was all over, I basically felt like Cillian Murphy's character, completely shell-shocked. I'm still reeling from the whole thing."
169,★★★★,"lmao at that one extra who ruined what was supposed to be the best scene in the movie because he couldn't contain his excitement, a legend."
170,★★★★,"I liked it a lot - but can't say I loved it. That may change on the rewatch, I'm not sure. There's a lot to take in here and a lot of themes to ponder before I actually write a full review. So don't take what I'm saying now (or even the rating) as a permanent thing."
171,★★★★★,in IMAX 70mm film.
172,★★★★½,Can you even imagine how stressful it must have been to be an Academy voter in 2017 and having to pick between 6 or 7 modern classics for everything? As someone who cannot make a decision to save their life I would've simply passed away.
173,★★★★★,Masterpiece.
174,★★★★½,it's just such an intense experience. idk if it'd hold up watching it on a smaller screen or in hindsight but for now i like it.
175,★★★★½,I am hundred procent sure that Nolan got some inspiration from La Haine with his ticking sound.
176,★★★★½,of 2017 so far :)
177,★★★★½,holy shit.
178,★★★★★,this was my first experience with imax and wow Cillian Murphys eyes were even bluer
179,★★★★,i accidentally got drunk at dinner right before seeing this with my parents but you bet your ass i sobered up the second i saw Sir Harry Edward Styles making his big screen debut
180,★★★★½,is still bullshit
181,★★★★½,"me after seeing tom glynn-harney and jack lowden look like they do for an hour and a half: yeah, can I get 5 more of these little blond bitches?"
182,★★★★★,every time cillian murphy looks scared i level up
183,Rewatched by,"2. My dad thinks Tom Hardy is cool and so do I, baby!!!"
184,★★★★½,dear god i love a white man by the name of tom hardy
185,★★★★,lets play guess which is the main character or what his name is
186,★★★★,I've read many reviews claiming that this movie lacks character development but I think that Nolan was trying to show that soldiers are like robots... They just follow orders without questioning but I might be wrong.
187,★★★★★,"Como dice el comandante Bolton: ""For the French""."
188,Watched by,me after seeing dunkirk: war movies are slightly less bad and also they're bigger
189,★★★★★,This may very well win the coveted Best Picture award at next year's Oscars.
190,★★★★½,I didn't think that we'd get to the point in time where a Christopher Nolan film is UNDERRATED but here we are.
191,★★★★½,hans zimmer IS TOO GOOD AT HIS JOB
192,★★★★★,when this movie was released i thought harry styles was going to be terrible in this but he was really good. the soundtrack is fantastic by Hans zimmer. plus the imax shots are amazing looking on my 4k tv. but overall great war movie.
193,★★★★★,"Nolan's experimental amalgamation of his entire filmography: time, symbols, elements, duty, and the exhausted people caught in the flux of it all."
194,★★★★★,"Although the lack of a big screen and excellent sound system does decrease its impact, Dunkirk still stands as incredible filmmaking thanks to Nolan's strongest direction yet. The year's most technically strong film, and a riveting piece all around."
195,★★★★★,= 5/5
196,★★★★★,Incredible film. Superbly crafted and extremely moving.
197,★★★★★,i still don't know what to say. just stunning
198,★★,bit.ly/2w31Q7O
199,★★★★★,"christopher nolan, the only man to simultaneously make me cry tears of suffering and nut because of the amazing directing"
200,★★★½,2017 Films Ranked
201,★★★,Maybe i should watch this in the cinema?
202,★★★★★,"There's a scene in Lost in Translation where Bill Murray is acting out his whisky commercial and the director(through a translator) is telling him to do it with ""More intensity."" This is what the Fuck they were talking about Bill!!"
203,Watched by,"Also, 500 reviews is kinda cool!"
204,★★★★½,is it fucked up that this is one of my comfort movies
205,★★★★★,Near perfect viewing experience the 70MM is so beautiful the only downside was sometimes I'd stare at the top right corner of the screen looking for the cigarette burns.
206,★★★★★,i'm never going to get that fucking ticking sound out of my head. masterpiece. adios.
207,★★★★★,"A defining career moment for Christopher Nolan, and a high point for the art of filmmaking."
208,★★★★,cillian murphy and harry styles in one movie. i don't think you understand i'm obsessed
209,★★,"Good thing they survived, or else we wouldn't have One Direction."
210,★★★★★,"This movie was almost as effective on a tiny screen as it was in IMAX and that says something. So much better than I remembered and I remembered it as being amazing. If the ending doesn't make you emotional, I don't know what will."
211,★★★★,i was so confused bc all of those twinks looked the same!
212,★★★★★,www.cineenserio.com/dunkerque-christopher-nolan-arte-y-vida/amp/
213,★★★★½,"The narrative structure was a little tough to get used to, to the point that I'm just hoping I understood everything properly. The lack of backstory and exposition was a risk that could be polarizing depending on if everybody reads the situation and subtext the same. I felt super drawn into the plot and the immersive filmmaking helped a whole lot."
214,★★★★★,Only my second watch. I really should watch this more often.
215,★★★,sexy harry styles sexy tom hardy DILF KENNETH BRANAGH sexy cillian murphy
216,★★★★½,Quite the experience to revisit.
217,★★★★½,9/10
218,★★★★★,harry styles lemme talk to u
219,★★★★★,These lads have been in their forever home (my heart) for a year
220,★★★★★,got.
221,★★★★½,Second time around I'm even more shook.
222,★★★★★,harry THESPIAN styles
223,★★★★★,6/5
224,Rewatched by,"side note: i obviously mean the characters and what happens to them, not how it ends historically speaking."
225,★★★★,After seeing both BR2049 and Dunkirk in one day I can confirm that Hans Zimmer is God
226,★★★★★,essentially a 107 minute long WW2 version of Potter Puppet Pals: The mysterious ticking noise
227,Rewatched by,DGA 1 in 70mm
228,★★★★,i am horny for this sound design
229,★★★★★,Dunkirk is not a film. It is an experience.
230,★★★★★,Watching this at midnight is my revenge against my neighbors for being loud in the morning
231,★★★★,trilogy
232,★★★★½,Harry Styles acting phew
233,★★★★★,?????? the acting??? the intensity???? christopher nolan deserves all of the awards holy shit. a true masterpiece.
234,★★★★½,probably a masterpiece.
235,★★★★★,anyway i cried the whole time
236,★★★,I stopped paying attention for a solid 10 minutes because I was just thinking about The Thin Red Line
237,★★★★½,why does cillian murphy always look like he's been in a room doing hard drugs for 10 years and then one day decided to become an actor
238,★★★★½,Probably the most insane theater experience I've ever had. (70MM IMAX)
239,★★★★½,JESUS CHRIST ON A BIKE
240,★★★★½,P.S. I have never been so frightened by the sound of an airplane before.
241,★★★★★,god I want to wrap a blanket around cillian murphy and then die so bad
242,★★★★,.
243,★★★★½,"Say what you will about digital projection, nothing compares to seeing a movie projected on film. This film MUST be seen in a theatre and preferably on film."
244,★★★★★,HAPPY 4 YEARS !!
245,★★★★★,Tom Hardy is amazing and should be in every movie. So is Cillian Murphy.
246,★★★★½,"You did it again, Chris!!"
247,★★★★½,Commander Bolton: Home.
248,★★★★,"All spectacle, all of the time. While it's definitely the most idiosyncratic and intimidating entry in the Nolan canon thus far in terms of subject matter, it does make for one hell of an intense, meditative, and poignant thrill ride. RIP George."
249,★★★★½,"Nolan why are you so good whyyyy? One of the best looking Nolan movies for sure, it's such a pleasure to watch plane scenes like true cinema right there. I really love how we don't know anything about our characters because that makes they feel equally important, their experience is what matters the most in that moment. This is how you make a real war movie!!!"
250,★★★★★,emotion. Nothing short of a masterpiece. Literally so close to making my top 4.
251,★★★★½,to be tom glynn carney on a boat with cillian murphy <3
252,★★★★★,"i saw this in imax when it came out in theaters and i was BLOWN AWAY. this film is seriously a masterpiece. the acting, the sound design, the editing back and forth between the stories, the cinematography.. i don't really know what i can say that could possibly do this film justice. ALSO harry styles, am i right? christopher nolan is probably a genius, huh?"
253,★★★★★,""""
254,★★½,"Other than that I was just mostly annoyed at the immensely irritating score. I know it is supposed to help with the building terror/anxiety, but it mostly just made me want to turn the film off in its entirety..."
255,★★★★,"cinema experience in the summer which I, unfortunately, couldn't partake in. Did that hinder the possibility of a higher rating? We'll never know."
256,★★★★★,"A phenomenal film about humanity's cruelty and compassion. Dunkirk is a film only Nolan could make, a story of hope that completes with a nightmarish ending. Utter terror is what the characters feel throughout all of Dunkirk, and by the end, the audience is tired. Tired of staring at the horrors portrayed, tired of hearing how terrible the sounds of gunfire are, and tired of war's inherent tragedy. Even without the IMAX format, this is what pure bravado cinema can be, something utterly thrilling to watch but even more distressing to think about afterwards. What a haunting work. What an extraordinary accomplishment."
257,★★★★,"I thought from the trailers that this was going to be Nolan's Heaven's Gate, but it's perversely and delightfully pared down to almost experimental proportions, an exercise in (literal, if you include the score, and how could you not?) clock-ticking tension that comes close to eschewing dialogue altogether. I have no idea if this approach is more authentic or historically accurate than conventional war narratives, but it does feel like a refreshing contrast anyway."
258,★★★★,Christopher Nolan Hates Tom Hardy's Face (Part 2 of 2)
259,★★★★,whats that noise its me shitting meself everytime a bullet hits the side of tom hardys metal plane
260,★★★★½,"also Christopher Nolan: I let Harry Styles from One Direction say ""fuck"" two times in my movie"
261,★★★★★,"None of the actors in this movie are going to win any awards, and that is a massive compliment. All of the pretension that comes with acting/performing is dynamited in this film, and we instead get extremely real feeling characters and very raw performances."
262,★★★,OK but did that poor boy ever get to take a shit?
263,★★★★★,"where the enemy is the shark - hardly seen other than fins and wings, the battlefield is the water, Cillian Murphy is Brody, Mark Rylance is Hooper and Tom Hardy is Quint, even succumbing to the antagonist like Quint in the end. And Zimmer is full-on Williams with the music, his most tense and release score, seemingly ratcheting your nerves and then unleashing all stress sometimes within the same montage. Love him or hate him for it, Nolan is the cross-cutting montage king."
264,★★★★★,See it on the biggest screen you can.
265,★½,Film is alive but cinema is dead.
266,★★★★,"Emotionally bland unless that emotion is stressful anticipation. But that's okay, in a movie like this I'm not looking to have my heart strings tug on (although the portion with Rylance does have some emotional heft), rather I'm looking for technical wizardry and design on a monumental scale, which it delivers with aplomb. Judged on what it is looking to accomplish, it's a near perfect war movie."
267,★★★★½,Us : nolan go slrrrp
268,★★★★★,"This is a masterpiece, I'm in love with the sound editing and the cinematography (those air scenes were nothing but perfect). Every single performance is great, even if no one had ""enough"" screentime, the moments they were given were fucking great. For a Nolan and a war film it feels way too short but either way it manages to be awesome. It's almost sad how satisfying yet upsetting that ending is, I can't stop thinking about it."
269,★★★★,"was a great film the first time I watched it, but this second viewing really made me love it."
270,★★★★★,but then I decided to rewatch this movie
271,★★★★½,"buttttttt thank you all for reading my reviews. It means a lot, to feel cared about. I wish you all the best of luck on the new year."
272,★★★★½,hacksaw ridge retire bitch
273,★★★★★,I had three (3) heart attacks
274,★★★★,Wow. NO EXPOSITION-FILLED DIALOGUE? Hooray!
275,★★★½,"A solid, unglamorous war movie. I guess that's all we can ask for these days."
276,★★★★★,"tom hardy, once again, the true hero"
277,★★★★,"No character development, minimal dialogue, thick accents, but somehow Christopher Nolan has still crafted an intense film about the tragic events of Dunkirk. That is due to Nolan's framing and camera work that brings out the most of his actors and environment. Also, Hans Zimmer has entered a new level of scoring. When a film score composer makes you clench your butthole from just a scene where a character walks around on the beach with his intense scoring. He fucking deserves another Oscar."
278,★★★★★,wow chrisopher nolan has done it again WHAT A MAN
279,★★★★★,is a masterful achievement in cinema that is remarkable in every way imaginable.
280,★★★★½,OH MY GOD
281,★★★★,Best sound effects of 2017.
282,★★★★★,also this was my second watch but you know a movie has got me stressed when i start cursing in french
283,★★,"Nolan auf Oscar-Bait Tour. Wenn er es braucht, bitte."
284,★★½,"Got as much out of DUNKIRK as a montage-heavy IMAX nature doc. The entire piece conveys a new near-experiemental energy for Christopher Nolan, but not a fully successful or multi-expressive one. Setting intercutting timelines patched together no better as depthless, but technically winded immersive montages. Yet this explicit sensational structure makes it far too difficult for viewers to latch onto anything. Equally despairing and admiring as a meticulously orchestrated simulation piece sweeping audiences into the unvarnished winds of chaos and uncertainty of war, but the less-realized characterization undermines the notions of stakes, emotion and tension."
285,★★★★,Phenomenal
286,Rewatched by,((but fr i love this movie))
287,★★★★,As ever it's great to see christopher nolan's skillful direction at work but I dont think it's his best film but still an exciting cinematic experience
288,★★★★½,Best Nolan movie imo
289,★★★★½,This is one of those movies that I have to watch again because purely of the breathtaking cinematography.
290,★★★★,There are no faces in war. Nolan reminds us in one of the most thrilling and Nolan ways possible.
291,★★★★★,"Worried it wouldn't translate as well at home but it remains every bit as compelling, compulsive and extraordinary viewing as it did on the big screen. Technically astonishing and emotionally resonant, Dunkirk is exemplary filmmaking with fires on every cylinder -- and Christopher Nolan's finest for my money."
292,★★★★,brilliant!
293,★★★★★,Tom Hardy could have defeated the Germans with his bare hands.
294,★★★★★,"Similar to how the British and French were surrounded by their enemy, I was surrounded by my own enemy; people who talk nonstop during movies."
295,★★★★★,i swear i can still hear that clock.
296,★★★★,Just a shame we'll have to wait another four or so years for another Nolan movie.
297,★★★★½,"speechless. absolutely incredible. nolan, you fucking did it"
298,★★,"I was bored from beginning to end, I didn't care about anything or anyone (but how can you when you can't tell all these white men apart) and even if I found some redeeming stuff (the cinematography comes to mind) I still couldn't enjoy this."
299,★★½,despacito
300,★★★★,"I'm sad that people are selling this as a war film. It's not a war film. It's a tense, gripping and humane film about survival. A great one at that."
301,Watched by,You can tell how much Hans Zimmer had to work to carry this film
302,★★★★½,a thrilling and breathtaking marvel. i appreciated it so much more the second time around.
303,★★½,why do directors keep making tom hardy cover his face
304,★★★★,Ich lieb die Ruhe in dem Film sehr.
